Generic Name	SMILES	Drug Bank ID	URL	Drug Groups	Score
Pyridoxal phosphate	DB00114	CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O	https://go.drugbank.com/drugs/DB00114	approved; investigational; nutraceutical	-636.903
Ademetionine	DB00118	C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N	https://go.drugbank.com/drugs/DB00118	approved; investigational; nutraceutical	-635.53
Pyruvic acid	DB00119	CC(=O)C(O)=O	https://go.drugbank.com/drugs/DB00119	approved; investigational; nutraceutical	-710.551
Phenylalanine	DB00120	N[C@@H](CC1=CC=CC=C1)C(O)=O	https://go.drugbank.com/drugs/DB00120	approved; investigational; nutraceutical	-716.026
Biotin	DB00121	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2	https://go.drugbank.com/drugs/DB00121	approved; investigational; nutraceutical	-710.993
Choline	DB00122	C[N+](C)(C)CCO	https://go.drugbank.com/drugs/DB00122	approved; nutraceutical	-700.645
L-Lysine	DB00123	NCCCC[C@H](N)C(O)=O	https://go.drugbank.com/drugs/DB00123	approved; nutraceutical	-629.73
Ascorbic acid	DB00126	[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO	https://go.drugbank.com/drugs/DB00126	approved; nutraceutical	-651.99
Aspartic acid	DB00128	N[C@@H](CC(O)=O)C(O)=O	https://go.drugbank.com/drugs/DB00128	approved; nutraceutical	-659.343
Ornithine	DB00129	NCCC[C@H](N)C(O)=O	https://go.drugbank.com/drugs/DB00129	approved; nutraceutical	-661.089
L-Glutamine	DB00130	N[C@@H](CCC(N)=O)C(O)=O	https://go.drugbank.com/drugs/DB00130	approved; investigational; nutraceutical	-624.174
Adenosine phosphate	DB00131	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1	https://go.drugbank.com/drugs/DB00131	approved; investigational; nutraceutical	-629.956
alpha-Linolenic acid	DB00132	CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O	https://go.drugbank.com/drugs/DB00132	approved; investigational; nutraceutical	-627.724
Methionine	DB00134	CSCC[C@H](N)C(O)=O	https://go.drugbank.com/drugs/DB00134	approved; nutraceutical	-661.009
Tyrosine	DB00135	[H][C@](N)(CC1=CC=C(O)C=C1)C(O)=O	https://go.drugbank.com/drugs/DB00135	approved; investigational; nutraceutical	-633.486
Calcitriol	DB00136	C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C	https://go.drugbank.com/drugs/DB00136	approved; nutraceutical	-642.16
Lutein	DB00137	C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C	https://go.drugbank.com/drugs/DB00137	approved; investigational; nutraceutical	-639.788
Cystine	DB00138	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O	https://go.drugbank.com/drugs/DB00138	approved; nutraceutical	-651.044
Succinic acid	DB00139	OC(=O)CCC(O)=O	https://go.drugbank.com/drugs/DB00139	approved; nutraceutical	-622.199
Riboflavin	DB00140	CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1	https://go.drugbank.com/drugs/DB00140	approved; investigational; nutraceutical; vet_approved	-694.356
N-Acetylglucosamine	DB00141	[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO	https://go.drugbank.com/drugs/DB00141	approved; investigational; nutraceutical	-639.273
Glutamic acid	DB00142	N[C@@H](CCC(O)=O)C(O)=O	https://go.drugbank.com/drugs/DB00142	approved; nutraceutical	-650.621
Glutathione	DB00143	[H][C@](N)(CCC(O)=N[C@@]([H])(CS)C(O)=NCC(O)=O)C(O)=O	https://go.drugbank.com/drugs/DB00143	approved; investigational; nutraceutical	-626.436
Glycine	DB00145	NCC(O)=O	https://go.drugbank.com/drugs/DB00145	approved; nutraceutical; vet_approved	-654.087
Calcifediol	DB00146	C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C	https://go.drugbank.com/drugs/DB00146	approved; nutraceutical	-639.129
Creatine	DB00148	CN(CC(O)=O)C(N)=N	https://go.drugbank.com/drugs/DB00148	approved; investigational; nutraceutical	-620.39
Tryptophan	DB00150	N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O	https://go.drugbank.com/drugs/DB00150	approved; nutraceutical; withdrawn	-635.008
Cysteine	DB00151	N[C@@H](CS)C(O)=O	https://go.drugbank.com/drugs/DB00151	approved; nutraceutical	-604.176
Thiamine	DB00152	CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N	https://go.drugbank.com/drugs/DB00152	approved; investigational; nutraceutical; vet_approved	-636.048
Ergocalciferol	DB00153	CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C	https://go.drugbank.com/drugs/DB00153	approved; nutraceutical	-526.43
Threonine	DB00156	C[C@@H](O)[C@H](N)C(O)=O	https://go.drugbank.com/drugs/DB00156	approved; nutraceutical	-631.973
NADH	DB00157	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O	https://go.drugbank.com/drugs/DB00157	approved; nutraceutical	-622.796
Folic acid	DB00158	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1	https://go.drugbank.com/drugs/DB00158	approved; nutraceutical; vet_approved	-643.245
